          Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type     Prt  VTEP             Moves   Last Move
  10  0050.56a1.24cc  RECEIVED  Vx1  10.11.14.23      2       23 days, 17:06:59 ago
  10  0050.56a1.2cec  RECEIVED  Vx1  10.11.14.23      36      575 days, 10:29:02 ago
  10  0050.56a1.30c9  RECEIVED  Vx1  10.11.14.23      2       32 days, 17:07:27 ago
  10  0050.56a1.343d  RECEIVED  Vx1  10.11.14.23      3       34 days, 13:43:02 ago
  10  0050.56a1.3c5c  RECEIVED  Vx1  10.11.14.23      200     361 days, 7:34:56 ago
  10  0050.56a1.4693  RECEIVED  Vx1  10.11.14.23      4       34 days, 15:21:17 ago
  10  0050.56a1.4d69  RECEIVED  Vx1  10.11.14.23      7       123 days, 8:45:36 ago
  10  0050.56a1.506e  RECEIVED  Vx1  10.11.14.23      12      454 days, 13:10:06 ago
  10  0050.56a1.50cf  RECEIVED  Vx1  10.11.14.23      4       34 days, 13:42:59 ago
  10  0050.56a1.5efe  RECEIVED  Vx1  10.11.14.23      11      131 days, 5:21:28 ago
  10  0050.56a1.64c3  RECEIVED  Vx1  10.11.14.23      9       32 days, 14:57:43 ago
  10  0050.56a1.6640  RECEIVED  Vx1  10.11.14.23      18      575 days, 10:29:02 ago
  10  0050.56a1.7649  RECEIVED  Vx1  10.11.14.23      14      575 days, 10:29:02 ago
  10  0050.56a1.794c  RECEIVED  Vx1  10.11.14.23      2       22 days, 17:06:56 ago
  10  0050.56a1.7f41  RECEIVED  Vx1  10.11.14.23      11      383 days, 4:36:53 ago
  10  0050.56a1.80c4  RECEIVED  Vx1  10.11.14.23      35      575 days, 10:29:02 ago
  10  0050.56a1.8c88  RECEIVED  Vx1  10.11.14.23      4       24 days, 17:07:49 ago
  10  0050.56a1.8f94  RECEIVED  Vx1  10.11.14.23      3       34 days, 15:21:28 ago
  10  0050.56a1.917d  RECEIVED  Vx1  10.11.14.23      7       336 days, 15:09:20 ago
  10  0050.56a1.9716  RECEIVED  Vx1  10.11.14.23      21      529 days, 19:00:14 ago
  10  0050.56a1.9be8  RECEIVED  Vx1  10.11.14.23      10      421 days, 1:10:09 ago
  10  0050.56a1.a3e8  RECEIVED  Vx1  10.11.14.23      6       336 days, 15:09:20 ago
  10  0050.56a1.a496  RECEIVED  Vx1  10.11.14.23      20      575 days, 10:29:02 ago
  10  0050.56a1.ad59  RECEIVED  Vx1  10.11.14.23      6       336 days, 15:09:29 ago
  10  0050.56a1.adf9  RECEIVED  Vx1  10.11.14.23      1       34 days, 14:38:46 ago
  10  0050.56a1.bcaa  RECEIVED  Vx1  10.11.14.23      31      575 days, 10:29:02 ago
  10  0050.56a1.be46  RECEIVED  Vx1  10.11.14.23      23      575 days, 10:29:02 ago
  10  0050.56a1.c009  RECEIVED  Vx1  10.11.14.23      128     357 days, 10:05:31 ago
