Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 3025     001b.1700.0131   dynamic  0         F      F    Po2
* 3025     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3026     0000.0c9f.fbd2   dynamic  0         F      F    Po2
* 3026     001b.1700.0131   dynamic  0         F      F    Po2
* 3026     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3027     0000.0c9f.fbd3   dynamic  0         F      F    Po2
* 3027     001b.1700.0131   dynamic  0         F      F    Po2
* 3027     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3028     0000.0c9f.fbd4   dynamic  0         F      F    Po2
* 3028     001b.1700.0131   dynamic  0         F      F    Po2
* 3028     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3029     0000.0c9f.fbd5   dynamic  0         F      F    Po2
* 3029     001b.1700.0131   dynamic  0         F      F    Po2
* 3029     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3030     0000.0c9f.fbd6   dynamic  0         F      F    Po2
* 3030     001b.1700.0131   dynamic  0         F      F    Po2
* 3030     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3031     0000.0c9f.fbd7   dynamic  0         F      F    Po2
* 3031     001b.1700.0131   dynamic  0         F      F    Po2
* 3031     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3032     0000.0c9f.fbd8   dynamic  0         F      F    Po2
* 3032     001b.1700.0131   dynamic  0         F      F    Po2
* 3032     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3033     0000.0c9f.fbd9   dynamic  0         F      F    Po2
* 3033     001b.1700.0131   dynamic  0         F      F    Po2
* 3033     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3034     001b.1700.0131   dynamic  0         F      F    Po2
* 3035     0000.0c9f.fbdb   dynamic  0         F      F    Po2
* 3035     001b.1700.0131   dynamic  0         F      F    Po2
* 3035     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3036     0000.0c9f.fbdc   dynamic  0         F      F    Po2
* 3036     001b.1700.0131   dynamic  0         F      F    Po2
* 3036     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3037     0000.0c9f.fbdd   dynamic  0         F      F    Po2
* 3037     001b.1700.0131   dynamic  0         F      F    Po2
* 3037     7c0e.cef3.eb42   dynamic  0         F      F    Po2
* 3039     0000.0c9f.fbdf   dynamic  0         F      F    Po2
* 3039     001b.1700.0131   dynamic  0         F      F    Po2
* 3039     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3040     0000.0c9f.fbe0   dynamic  0         F      F    Po2
* 3040     001b.1700.0131   dynamic  0         F      F    Po2
* 3040     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3041     0000.0c9f.fbe1   dynamic  0         F      F    Po2
* 3041     001b.1700.0131   dynamic  0         F      F    Po2
* 3041     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3042     0000.0c9f.fbe2   dynamic  0         F      F    Po2
* 3042     001b.1700.0131   dynamic  0         F      F    Po2
* 3043     0000.0c9f.fbe3   dynamic  0         F      F    Po2
* 3043     001b.1700.0131   dynamic  0         F      F    Po2
* 3043     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3044     0000.0c9f.fbe4   dynamic  0         F      F    Po2
* 3044     001b.1700.0131   dynamic  0         F      F    Po2
* 3044     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3045     0000.0c9f.fbe5   dynamic  0         F      F    Po2
* 3045     001b.1700.0131   dynamic  0         F      F    Po2
* 3045     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3046     0000.0c9f.fbe6   dynamic  0         F      F    Po2
* 3046     001b.1700.0131   dynamic  0         F      F    Po2
* 3046     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3047     0000.0c9f.fbe7   dynamic  0         F      F    Po2
* 3047     001b.1700.0131   dynamic  0         F      F    Po2
